35, 3, 2, 
35, 8, 2, 
35, 24, 0, 
35, 25, 0, 
35, 26, 0, 
35, 30, 0, 
35, 31, 0, 
35, 32, 0, 
35, 41, 3, 
35, 42, 0, 
35, 43, 0, 
35, 44, 0, 
35, 51, 0, 
35, 53, 0, 
35, 55, 0, 
35, 59, 0, 
35, 60, 0, 
35, 61, 0, 
35, 62, 0, 
35, 65, 0, 
35, 66, 0, 
35, 67, 0, 
36, 1, 0, 
36, 2, 0, 
36, 3, 0, 
36, 8, 0, 
36, 25, 0, 
36, 26, 0, 
36, 31, 0, 
36, 32, 0, 
36, 42, 5, 
36, 43, 0, 
36, 44, 0, 
36, 53, 0, 
36, 55, 0, 
36, 60, 0, 
36, 61, 0, 
36, 62, 0, 
36, 66, 0, 
36, 67, 0, 
37, 1, 0, 
37, 2, 0, 
37, 3, 0, 
37, 8, 0, 
37, 26, 0, 
37, 32, 0, 
37, 43, 1, 
37, 44, 0, 
37, 55, 0, 
37, 61, 0, 
37, 62, 0, 
37, 67, 0, 
38, 1, 0, 
38, 2, 0, 
38, 3, 0, 
38, 8, 0, 
38, 44, 0, 
38, 62, 0, 
39, 1, 1, 
39, 2, 0, 
39, 3, 0, 
39, 8, 6, 
39, 34, 0, 
39, 35, 0, 
39, 36, 0, 
39, 37, 0, 
39, 38, 0, 
39, 48, 0, 
39, 50, 0, 
39, 52, 0, 
39, 54, 0, 
39, 56, 0, 
40, 1, 0, 
40, 2, 0, 
40, 3, 0, 
40, 8, 0, 
40, 35, 0, 
40, 36, 0, 
40, 37, 0, 
40, 38, 0, 
40, 50, 0, 
40, 52, 0, 
40, 54, 0, 
40, 56, 0, 
41, 1, 0, 
41, 2, 0, 
41, 3, 0, 
41, 8, 3, 
41, 36, 0, 
41, 37, 0, 
41, 38, 0, 
41, 52, 0, 
41, 54, 0, 
41, 56, 0, 
42, 1, 0, 
42, 2, 0, 
42, 3, 1, 
42, 8, 4, 
42, 37, 0, 
42, 38, 0, 
42, 54, 0, 
42, 56, 0, 
43, 1, 0, 
43, 2, 0, 
43, 3, 0, 
43, 8, 1, 
43, 38, 0, 
43, 56, 0, 
44, 1, 0, 
44, 2, 0, 
44, 3, 0, 
44, 8, 0, 
45, 1, 0, 
45, 2, 0, 
45, 3, 0, 
45, 8, 0, 
45, 33, 0, 
45, 34, 0, 
45, 35, 0, 
45, 36, 0, 
45, 37, 0, 
45, 38, 0, 
45, 46, 0, 
45, 48, 0, 
45, 50, 0, 
45, 52, 0, 
45, 54, 0, 
45, 56, 0, 
46, 1, 0, 
46, 2, 0, 
46, 3, 0, 
46, 8, 0, 
46, 22, 0, 
46, 23, 0, 
46, 24, 0, 
46, 25, 0, 
46, 26, 0, 
46, 28, 0, 
46, 29, 0, 
46, 30, 0, 
46, 31, 0, 
46, 32, 0, 
46, 39, 0, 
46, 40, 0, 
46, 41, 0, 
46, 42, 0, 
46, 43, 0, 
46, 44, 0, 
46, 47, 0, 
46, 49, 0, 
46, 51, 0, 
46, 53, 0, 
46, 55, 0, 
46, 57, 14, 
46, 58, 0, 
46, 59, 0, 
46, 60, 0, 
46, 61, 0, 
46, 62, 0, 
46, 63, 0, 
46, 64, 0, 
46, 65, 0, 
46, 66, 0, 
46, 67, 0, 
47, 1, 0, 
47, 2, 0, 
47, 3, 0, 
47, 8, 0, 
47, 34, 0, 
47, 35, 0, 
47, 36, 0, 
47, 37, 0, 
47, 38, 0, 
47, 48, 3, 
47, 50, 0, 
47, 52, 0, 
47, 54, 0, 
47, 56, 0, 
48, 1, 0, 
48, 2, 2, 
48, 3, 0, 
48, 8, 0, 
48, 23, 0, 
48, 24, 0, 
48, 25, 0, 
48, 26, 0, 
48, 29, 0, 
48, 30, 0, 
48, 31, 0, 
48, 32, 0, 
48, 40, 0, 
48, 41, 0, 
48, 42, 0, 
48, 43, 0, 
48, 44, 0, 
48, 49, 0, 
48, 51, 0, 
48, 53, 0, 
48, 55, 0, 
48, 58, 10, 
48, 59, 0, 
48, 60, 0, 
48, 61, 0, 
48, 62, 0, 
48, 64, 0, 
48, 65, 0, 
48, 66, 0, 
48, 67, 0, 
49, 1, 0, 
49, 2, 0, 
49, 3, 0, 
49, 8, 0, 
49, 35, 0, 
49, 36, 0, 
49, 37, 0, 
49, 38, 0, 
49, 50, 0, 
49, 52, 0, 
49, 54, 0, 
49, 56, 0, 
50, 1, 0, 
50, 2, 0, 
50, 3, 0, 
50, 8, 0, 
50, 24, 0, 
50, 25, 0, 
50, 26, 0, 
50, 30, 0, 
50, 31, 0, 
50, 32, 0, 
50, 41, 0, 
50, 42, 0, 
50, 43, 0, 
50, 44, 0, 
50, 51, 0, 
50, 53, 0, 
50, 55, 0, 
50, 59, 6, 
50, 60, 0, 
50, 61, 0, 
50, 62, 0, 
50, 65, 0, 
50, 66, 0, 
50, 67, 0, 
51, 1, 0, 
51, 2, 0, 
51, 3, 0, 
51, 8, 0, 
51, 36, 0, 
51, 37, 0, 
51, 38, 0, 
51, 52, 2, 
51, 54, 0, 
51, 56, 0, 
52, 1, 0, 
52, 2, 2, 
52, 3, 0, 
52, 8, 0, 
52, 25, 0, 
52, 26, 0, 
52, 31, 0, 
52, 32, 0, 
52, 42, 0, 
52, 43, 0, 
52, 44, 0, 
52, 53, 0, 
52, 55, 0, 
52, 60, 3, 
52, 61, 0, 
52, 62, 0, 
52, 66, 0, 
52, 67, 0, 
53, 1, 0, 
53, 2, 0, 
53, 3, 0, 
53, 8, 0, 
53, 37, 0, 
53, 38, 0, 
53, 54, 2, 
53, 56, 0, 
54, 1, 0, 
54, 2, 0, 
54, 3, 0, 
54, 8, 0, 
54, 26, 0, 
54, 32, 0, 
54, 43, 0, 
54, 44, 0, 
54, 55, 0, 
54, 61, 5, 
54, 62, 0, 
54, 67, 0, 
55, 1, 0, 
55, 2, 0, 
55, 3, 0, 
55, 8, 0, 
55, 38, 0, 
55, 56, 0, 
56, 1, 0, 
56, 2, 0, 
56, 3, 0, 
56, 8, 0, 
56, 44, 0, 
56, 62, 1, 
57, 0, 0, 
57, 1, 0, 
57, 2, 0, 
57, 3, 0, 
57, 7, 1, 
57, 8, 0, 
57, 22, 0, 
57, 23, 0, 
57, 24, 0, 
57, 25, 0, 
57, 26, 0, 
57, 34, 0, 
57, 35, 0, 
57, 36, 0, 
57, 37, 0, 
57, 38, 0, 
57, 48, 0, 
57, 50, 0, 
57, 52, 0, 
57, 54, 0, 
57, 56, 0, 
57, 63, 21, 
57, 64, 0, 
57, 65, 0, 
57, 66, 0, 
57, 67, 0, 
57, 78, 0, 
58, 0, 0, 
58, 1, 0, 
58, 2, 0, 
58, 3, 0, 
58, 7, 1, 
58, 8, 0, 
58, 23, 0, 
58, 24, 0, 
58, 25, 0, 
58, 26, 0, 
58, 35, 0, 
58, 36, 0, 
58, 37, 0, 
58, 38, 0, 
58, 50, 0, 
58, 52, 0, 
58, 54, 0, 
58, 56, 0, 
58, 64, 11, 
58, 65, 0, 
58, 66, 0, 
58, 67, 0, 
58, 78, 0, 
59, 0, 0, 
59, 1, 0, 
59, 2, 0, 
59, 3, 0, 
59, 7, 1, 
59, 8, 0, 
59, 24, 0, 
59, 25, 0, 
59, 26, 0, 
59, 36, 0, 
59, 37, 0, 
59, 38, 0, 
59, 52, 0, 
59, 54, 0, 
59, 56, 0, 
59, 65, 5, 
59, 66, 0, 
59, 67, 0, 
59, 78, 0, 
60, 0, 0, 
60, 1, 0, 
60, 2, 0, 
60, 3, 0, 
60, 7, 1, 
60, 8, 0, 
60, 25, 0, 
60, 26, 0, 
60, 37, 0, 
60, 38, 0, 
60, 54, 0, 
60, 56, 0, 
60, 66, 4, 
60, 67, 0, 
60, 78, 0, 
61, 0, 0, 
61, 1, 0, 
61, 2, 0, 
61, 3, 0, 
61, 7, 1, 
61, 8, 0, 
